unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-311-00793480a4f7,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyDict_SetItem|_PyObjectDict_SetItem|_PyObject_GenericSetAttrWithDict|PyObject_GenericSetAttr|PyObject_SetAttr|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",4,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.57f5c8a6a1bd.STACK.18977c2c63.CODE.1.ADDR.1ffffffff.INSTR.addq___$0x1,0x0(%r13).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-00793480a4f7.pyc
cpython-311-04608fe5d29c,cpython-311,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_iternext|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7fcae81889fc.STACK.cbc137e9f.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-04608fe5d29c.pyc
cpython-311-04dea2474c2e,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:Py_XDECREF|tupledealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|free_keys_object|dictkeys_decref|dict_dealloc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.63b29b60c933.STACK.f3ea7343a.CODE.1.ADDR.1ffffffff.INSTR.mov____0x0(%r13),%r14.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-04dea2474c2e.pyc
cpython-311-05297905678a,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyFunction_NewWithQualName|PyFunction_New|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main",15,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.557c218e8053.STACK.c75e2ad71.CODE.1.ADDR.0.INSTR.addq___$0x1,(%rax).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-05297905678a.pyc
cpython-311-05f23e8f2dc0,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:Py_INCREF|Py_XINCREF|PyException_GetContext|_PyErr_SetObject|_PyErr_SetString|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.60480e24059a.STACK.1b73265470.CODE.128.ADDR.0.INSTR.addq___$0x1,(%rbx).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-05f23e8f2dc0.pyc
cpython-311-0ac6e10ec012,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PySet_Add|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",7,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.55ed52a85a43.STACK.1af430bdf9.CODE.1.ADDR.8.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-0ac6e10ec012.pyc
cpython-311-150c32ac2f32,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyExc_PrepReraiseStar|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5b92a65b07d2.STACK.19622af9dd.CODE.1.ADDR.8.INSTR.mov____0x8(%rbx),%rbx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-150c32ac2f32.pyc
cpython-311-180849cc3760,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyVectorcall_FunctionInline|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.59456ab41865.STACK.1ac3eacd5e.CODE.128.ADDR.0.INSTR.mov____0xa8(%r13),%r12.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-180849cc3760.pyc
cpython-311-19426cff68b5,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyVectorcall_FunctionInline|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",8,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.58b0d1a1e738.STACK.1808ad81b0.CODE.1.ADDR.200000007.INSTR.mov____0x8(%rbx),%rax.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-19426cff68b5.pyc
cpython-311-1b3452bdbcde,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",11,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.56a26b5ccefb.STACK.1a4bd25a63.CODE.1.ADDR.200000007.INSTR.mov____0x8(%r15),%rbx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-1b3452bdbcde.pyc
cpython-311-1c620987a67d,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyExc_PrepReraiseStar|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",4,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5a7df710e7b4.STACK.d996ec6c0.CODE.1.ADDR.20000000f.INSTR.mov____0x10(%r13),%r12.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-1c620987a67d.pyc
