unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-314-00ac0664c4bf,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",5,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.5690bdd04c4b.STACK.183f7c3bf1.CODE.1.ADDR.8.INSTR.mov____0x8(%r13),%r14.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-00ac0664c4bf.pyc
cpython-314-02287c7c72ac,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyTemplate_Build|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",4,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.5fb29e3f4152.STACK.1830fcfecd.CODE.1.ADDR.0.INSTR.mov____(%r15),%ebx.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-02287c7c72ac.pyc
cpython-314-02afc6315bd3,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_GetIter|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",3,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.59e7a3b97e1b.STACK.d26fdc73d.CODE.1.ADDR.8.INSTR.mov____0x8(%r14),%r15.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-02afc6315bd3.pyc
cpython-314-083687ef1f51,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_send_ex|gen_close|_PyGen_Finalize|PyObject_CallFinalizer|PyObject_CallFinalizerFromDealloc|gen_dealloc|_Py_Dealloc|Py_DECREF_MORTAL|PyStackRef_XCLOSE|frame_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF",1,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.5f0e263f4043.STACK.18a9844ca8.CODE.128.ADDR.0.INSTR.mov____0x8(%rbx),%r15.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-083687ef1f51.pyc
cpython-314-092032c9f8c9,cpython-314,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|clone_combined_dict_keys|copy_lock_held|PyDict_Copy|finalize_restore_builtins|finalize_modules|_Py_Finalize|Py_FinalizeEx",1,"data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.73d8fd6199fc.STACK.e448dac14.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-092032c9f8c9.pyc
cpython-314-0b0ec4b427e1,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyDict_SetItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|builtin___build_class__|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject",5,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.56377ab346bd.STACK.c062ff69a.CODE.128.ADDR.0.INSTR.mov____(%r15),%ebx.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-0b0ec4b427e1.pyc
cpython-314-0b42a779eeaa,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_GC_UNTRACK|PyObject_GC_UnTrack|module_dealloc|_Py_Dealloc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python",1,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.58b06bb27843.STACK.de1ee7e05.CODE.1.ADDR.652.INSTR.mov____(%r14),%r15d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-0b42a779eeaa.pyc
cpython-314-0e42af385a47,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main",1,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.775635428900.STACK.196b4d8fa0.CODE.128.ADDR.0.INSTR.mov____-0x8(%rsi,%rdx,1),%rcx.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-0e42af385a47.pyc
cpython-314-11b920f01aa1,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyStackRef_CLOSE|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",112,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.55b3a3556fca.STACK.183c056d12.CODE.1.ADDR.55b300000000.INSTR.mov____(%rbx),%r13d.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-11b920f01aa1.pyc
cpython-314-12f7609bd909,cpython-314,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyInterpolation_Build|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",6,"data/rq3/cpython-3.14/fuzz/crashes/SIGSEGV.PC.57cff579681c.STACK.18a95a1b30.CODE.1.ADDR.0.INSTR.mov____(%r12),%ebx.pyc",data/rq3/cpython-3.14/unique_bug_pyc/cpython-314-12f7609bd909.pyc
