seed,artifact,artifact_type,pyc_path,python_tag,magic_number,bytes
data/rq3/cpython-3.8/seeds/cpython_case_test___all___AllTest_test_all_abcc12748c35fd14.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test___all___AllTest_test_all_abcc12748c35fd14.pyc,cpython-38,3413,1112
data/rq3/cpython-3.8/seeds/cpython_case_test___future___FutureTest_test_attributes_20c6df318d3df583.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test___future___FutureTest_test_attributes_20c6df318d3df583.pyc,cpython-38,3413,1469
data/rq3/cpython-3.8/seeds/cpython_case_test___future___FutureTest_test_names_a528697034885b3d.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test___future___FutureTest_test_names_a528697034885b3d.pyc,cpython-38,3413,705
data/rq3/cpython-3.8/seeds/cpython_case_test__locale__LocaleTests_test_float_parsing_26a512e08f3218cb.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__locale__LocaleTests_test_float_parsing_26a512e08f3218cb.pyc,cpython-38,3413,920
data/rq3/cpython-3.8/seeds/cpython_case_test__locale__LocaleTests_test_lc_numeric_basic_df3ae10e11566e87.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__locale__LocaleTests_test_lc_numeric_basic_df3ae10e11566e87.pyc,cpython-38,3413,931
data/rq3/cpython-3.8/seeds/cpython_case_test__locale__LocaleTests_test_lc_numeric_localeconv_08e360c8f359c05a.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__locale__LocaleTests_test_lc_numeric_localeconv_08e360c8f359c05a.pyc,cpython-38,3413,715
data/rq3/cpython-3.8/seeds/cpython_case_test__locale__LocaleTests_test_lc_numeric_nl_langinfo_a30bec4be94afd24.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__locale__LocaleTests_test_lc_numeric_nl_langinfo_a30bec4be94afd24.pyc,cpython-38,3413,735
data/rq3/cpython-3.8/seeds/cpython_case_test__opcode_OpcodeTests_test_stack_effect_78572336be3eea5c.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__opcode_OpcodeTests_test_stack_effect_78572336be3eea5c.pyc,cpython-38,3413,1000
data/rq3/cpython-3.8/seeds/cpython_case_test__opcode_OpcodeTests_test_stack_effect_jump_d77c47c497076875.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__opcode_OpcodeTests_test_stack_effect_jump_d77c47c497076875.pyc,cpython-38,3413,1073
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__check_for_unavailable_sdk_9fe9877d8eb53e86.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__check_for_unavailable_sdk_9fe9877d8eb53e86.pyc,cpython-38,3413,1046
