unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-310-02136a8dd74b,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyNumber_InPlaceMultiply|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj",4,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.57c00c3e30b4.STACK.1ad2bc836c.CODE.1.ADDR.8.INSTR.mov____0x8(%r13),%rax.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02136a8dd74b.pyc
cpython-310-02173bb381ec,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:tupleiter_next|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj",2,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.57b51792544d.STACK.e1e536e86.CODE.128.ADDR.0.INSTR.addq___$0x1,(%rax).pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc
cpython-310-0405b92fdf77,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj",8,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.56999b76b3c5.STACK.ed99582f1.CODE.1.ADDR.8.INSTR.mov____0x8(%r12),%r14.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc
cpython-310-051c62d941fa,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyIter_Send|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.5bdc6869deb7.STACK.1adc86a1c7.CODE.1.ADDR.8.INSTR.mov____0x8(%r13),%r12.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc
cpython-310-05a3ee1d3fc4,cpython-310,crash,SIGSEGV,honggfuzz-filename,SIGSEGV:ec691fcf4,1,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.56681100980b.STACK.ec691fcf4.CODE.1.ADDR.38.INSTR.mov____0x30(%rax),%rbx.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc
cpython-310-09ede1f2a7d5,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:binary_op1|binary_iop1|binary_iop|PyNumber_InPlaceLshift|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.618487911d87.STACK.1b4845a8f9.CODE.1.ADDR.8.INSTR.mov____0x8(%r14),%r14.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-09ede1f2a7d5.pyc
cpython-310-0b78e6dac771,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyNumber_InPlaceAnd|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj",2,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.5b330452e7e4.STACK.e5f3f382e.CODE.1.ADDR.8.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0b78e6dac771.pyc
cpython-310-0e264d4271f8,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|list_extend|_PyList_Extend|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj",1,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.796eb3f91795.STACK.19f198d4d8.CODE.1.ADDR.39.INSTR.mov____-0x8(%rbp),%rax.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc
cpython-310-13550de95770,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyDict_SetItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|builtin___build_class__|cfunction_vectorcall_FASTCALL_KEYWORDS|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",1,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.565fe6b524b0.STACK.e007593d8.CODE.1.ADDR.8.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc
cpython-310-1410d9b640bc,cpython-310,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Hash|PyDict_DelItem|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject",2,"data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.5f848f3aa9e4.STACK.fc5e51439.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%rax.pyc",data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc
