unique_bug_id,python_tag,findings,message_class,abort_message,signature,example
cpython-310-867daa1a12e5,cpython-310,27,class_b_corruption_explicit,double free or corruption (out),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|code_dealloc|_Py_Dealloc|_Py_DECREF|func_clear|func_dealloc","data/rq3/cpython-3.10/fuzz/crashes/SIGABRT.PC.703caee579fc.STACK.d2dfe1acb.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-310-b47c5e123eaf,cpython-310,1,class_b_corruption_explicit,double free or corruption (out),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|_PyTuple_ClearFreeList|clear_freelists|gc_collect_main|gc_collect_with_callback|PyGC_Collect|Py_FinalizeEx|Py_RunMain|pymain_main",data/rq3/cpython-3.10/fuzz/crashes/SIGSEGV.PC.60f0def448c7.STACK.e18a442f8.CODE.128.ADDR.0.INSTR.call___*%rbx.pyc
cpython-310-bf714da58604,cpython-310,4,manual_allocator_unaligned_chunk,malloc_consolidate(): unaligned fastbin chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyMem_RawFree|PyInterpreterState_Delete|finalize_interp_delete|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain|main","data/rq3/cpython-3.10/fuzz/crashes/SIGABRT.PC.76f2a2ceb9fc.STACK.f49661632.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-310-c04186603693,cpython-310,2,class_b_corruption_explicit,malloc(): corrupted top size,"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|PyType_GenericAlloc|object_new|type_call|_PyObject_MakeTpCall|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall","data/rq3/cpython-3.10/fuzz/crashes/SIGABRT.PC.76bd0948c9fc.STACK.187892ec39.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-310-eee12f3bfc79,cpython-310,3,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|free|_PyMem_RawFree|PyMem_RawFree|PyInterpreterState_Delete|finalize_interp_delete|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain|main","data/rq3/cpython-3.10/fuzz/crashes/SIGABRT.PC.75340a8f29fc.STACK.e448dac14.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-3e8527f976f6,cpython-311,2,manual_allocator_unaligned_chunk,malloc_consolidate(): unaligned fastbin chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyDict_Clear|_PyUnicode_ClearInterned|finalize_interp_types|finalize_interp_clear|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7596d4bb69fc.STACK.f49661632.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-4104352150cc,cpython-311,1,class_b_corruption_explicit,realloc(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|list_extend|_PyList_Extend|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7de0d94009fc.STACK.efa49e33f.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-8e1b0f5516d8,cpython-311,3,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyMem_Free|_PyObject_Call_Prepend|slot_tp_new|type_call|_PyObject_MakeTpCall|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7a9b4c7029fc.STACK.f78fb5c47.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-95f998313396,cpython-311,4,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|clone_combined_dict_keys|PyDict_Copy|finalize_restore_builtins|finalize_modules|Py_FinalizeEx|Py_RunMain|pymain_main","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.70ccc901d9fc.STACK.e448dac14.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-bb92f63abfa4,cpython-311,1,class_b_corruption_explicit,malloc(): invalid size (unsorted),"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|_Py_hashtable_set|w_ref|w_object|w_complex_object|w_object|w_complex_object|w_object|w_complex_object|w_object","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7fcc4ce969fc.STACK.18f7fcd5dd.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
